index,X,Y,Z,formation
191,542736.5758484881,7490586.864028291,629.0,Brockman_Iron_Formation
192,544135.61854951,7491432.16111711,629.0,Brockman_Iron_Formation
193,544306.9392631858,7491686.162238409,608.0,Brockman_Iron_Formation
194,544592.1154765331,7491373.375090823,633.0,Brockman_Iron_Formation
195,545036.39095029,7491777.16052949,637.0,Brockman_Iron_Formation
196,547358.20826529,7492402.68925637,580.0,Brockman_Iron_Formation
197,549769.40858937,7492521.71000565,588.0,Brockman_Iron_Formation
198,551912.66067399,7492908.74109107,638.0,Brockman_Iron_Formation
199,556080.12024507,7492968.26036539,605.0,Brockman_Iron_Formation
200,558461.50134621,7493623.27962911,632.0,Brockman_Iron_Formation
201,561445.87128673,7494055.81043324,695.0,Brockman_Iron_Formation
202,562017.86825298,7493989.31063656,702.0,Brockman_Iron_Formation
203,560826.7930623054,7473446.765934077,612.0,Marra_Mamba_Iron_Formation
204,560232.80854091,7475744.85006584,740.0,Marra_Mamba_Iron_Formation
205,559941.86983945,7477413.83910291,656.0,Marra_Mamba_Iron_Formation
206,559408.93108398,7479001.82117594,649.0,Marra_Mamba_Iron_Formation
207,559301.23024064,7479091.31050734,649.0,Marra_Mamba_Iron_Formation
208,555585.87274556,7482764.78023605,570.0,Marra_Mamba_Iron_Formation
209,551338.54978211,7485090.02564644,520.0,Marra_Mamba_Iron_Formation
210,543469.99821909,7487871.18035101,628.0,Marra_Mamba_Iron_Formation
211,541719.80946737,7488918.16017195,638.0,Marra_Mamba_Iron_Formation
212,527989.1321683651,7501093.758504495,544.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
213,526591.88981018,7500682.03115599,544.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
214,525164.74149011,7500478.01038839,547.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
215,521588.3817254504,7500713.701949331,604.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
216,519321.97986743,7499823.94797189,523.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
217,518968.1756635026,7499549.007016614,524.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
218,518997.1848225703,7499387.501674371,533.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
219,517461.88110867,7498453.43053188,555.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
220,522249.95825072477,7500072.981502291,552.0,Wittenoom_Formation
221,519637.33970909996,7499435.95032536,514.0,Wittenoom_Formation
222,519111.767893185,7499085.720226312,515.0,Wittenoom_Formation
223,519189.53477518685,7498808.957019739,518.0,Wittenoom_Formation
224,517576.33932652,7497748.93173469,532.0,Wittenoom_Formation
225,526916.84106346,7507564.58170035,561.0,Turee_Creek_Group
226,532013.40103517,7508548.66975352,592.0,Turee_Creek_Group
227,533041.40998231,7507717.67045971,590.0,Turee_Creek_Group
228,529279.14016946,7505442.59959089,557.0,Turee_Creek_Group
229,526654.36969929,7504655.06131971,546.0,Turee_Creek_Group
230,521098.64891779993,7503867.99041291,524.0,Turee_Creek_Group
231,517327.84020049,7503193.44891036,522.0,Turee_Creek_Group
232,516569.9897101187,7502995.179018217,505.0,Turee_Creek_Group
233,515687.3100586407,7505599.152506512,528.0,Turee_Creek_Group
234,518079.05159515,7506117.46876826,532.0,Turee_Creek_Group
235,525888.77727527,7507345.55938777,555.0,Turee_Creek_Group
236,516974.19612537755,7502431.060227063,508.0,Turee_Creek_Group
