X,Y,Z,azimuth,dip,polarity,formation
540523.16433869,7503325.15400174,598.0,325.9189590437068,17.235189046490053,1,Marra_Mamba_Iron_Formation
537952.6905177,7502403.3942075735,644.0,348.0898694204055,12.451881162285046,1,Marra_Mamba_Iron_Formation
537322.756298895,7501665.3845699085,593.0,270.27201721475393,9.757833447931743,1,Marra_Mamba_Iron_Formation
535976.235242035,7500689.37527097,529.0,353.56944493367513,2.4838858258976297,1,Marra_Mamba_Iron_Formation
533973.322862685,7500763.609422315,585.0,333.7286615229196,12.110770518268538,1,Marra_Mamba_Iron_Formation
532443.9799124349,7500781.5911998665,553.0,0.29802680120610603,21.62189637055189,1,Marra_Mamba_Iron_Formation
529429.349794275,7500744.063720685,560.0,0.8411354951247745,32.74742624611031,1,Marra_Mamba_Iron_Formation
527827.606573235,7500240.298485533,512.0,0.2704917650362404,31.198960950504446,1,Marra_Mamba_Iron_Formation
559190.474683385,7485859.81949822,572.0,5.0102581688199725,19.257701045386654,1,Turee_Creek_Group
556320.450320815,7486533.2906808,551.0,21.979464060661602,47.260216053340685,1,Turee_Creek_Group
552539.6054199,7488215.253426067,535.0,26.893052208992515,50.08782909471315,1,Turee_Creek_Group
550638.920361385,7488970.231010585,553.0,20.280842646178428,35.192962603562044,1,Turee_Creek_Group
550244.6457649351,7489261.979971195,560.0,71.74878201995638,30.52125585714394,1,Turee_Creek_Group
550269.51999064,7489561.729291175,561.0,123.50293216889936,27.013145563684077,1,Turee_Creek_Group
551154.52439263,7489923.846449115,568.0,166.7744592787781,24.768808457514158,1,Turee_Creek_Group
553416.96384789,7490379.004094335,551.0,181.53606067237058,28.04142585682284,1,Turee_Creek_Group
554743.124045105,7490273.269830565,554.0,194.72548772393841,28.497255824979923,1,Turee_Creek_Group
555049.833844615,7490037.018998515,556.0,246.36877053723148,29.7053594238102,1,Turee_Creek_Group
555099.34523389,7489616.26988951,550.0,206.74050458229053,34.61036995056107,1,Turee_Creek_Group
555551.524739355,7489793.524252701,550.0,139.44256948655396,29.39325773787436,1,Turee_Creek_Group
556474.36014835,7490157.539870755,561.0,174.75922295192424,23.88054888914488,1,Turee_Creek_Group
559429.445946845,7490119.320092405,604.0,171.24287058254598,37.44303271873398,1,Turee_Creek_Group
561251.54317052,7490461.58422179,589.0,183.23611979372012,43.05577981709028,1,Turee_Creek_Group
562237.3946909818,7485229.555628215,609.0,357.9725329872847,11.850265527961753,1,Boolgeeda_Iron_Formation
559879.7154419599,7485057.0803395985,602.0,1.972624282166464,14.36111041564324,1,Boolgeeda_Iron_Formation
558060.35580585,7485458.80510827,573.0,11.508599836426301,33.378973834665516,1,Boolgeeda_Iron_Formation
555703.144631345,7486114.03374151,593.0,16.16237075314575,49.379018053234645,1,Boolgeeda_Iron_Formation
551769.593196215,7487929.2487396365,573.0,28.085175621907805,49.376937476173154,1,Boolgeeda_Iron_Formation
550036.09933288,7488741.734540305,570.0,27.79227023182796,35.39441029230129,1,Boolgeeda_Iron_Formation
549767.9833980601,7489930.72420017,562.0,134.9751301383585,18.363783478271685,1,Boolgeeda_Iron_Formation
551356.233613845,7490337.219367647,561.0,270.19290236136897,23.392558861152963,1,Boolgeeda_Iron_Formation
553565.794808175,7490830.75048428,560.0,171.96469351660218,25.45590435548131,1,Boolgeeda_Iron_Formation
555807.5487710449,7490585.770354405,558.0,180.30055237945626,24.82863400560423,1,Boolgeeda_Iron_Formation
558471.9546975051,7490545.80589504,566.0,176.57678393080926,35.765727029111154,1,Boolgeeda_Iron_Formation
560789.4943011501,7491078.074718455,578.0,169.03473616972337,44.204798623634346,1,Boolgeeda_Iron_Formation
561618.4547170401,7491040.836369265,570.0,195.37751997173157,43.45674727354147,1,Boolgeeda_Iron_Formation
562105.9293420999,7475765.8464853,682.0,83.6560133233301,5.376900240652162,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
561510.8387332549,7477934.84419016,686.0,62.586644070339844,0.9859881233947476,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
560375.17128294,7483192.580446632,631.0,12.247065716876195,13.620669099853075,1,Weeli_Wolli_Formation
556772.50979038,7484235.05162076,600.0,17.41549805774065,40.54887263928217,1,Weeli_Wolli_Formation
554176.3811324751,7485264.270465299,558.0,22.58148375399185,47.47853381223374,1,Weeli_Wolli_Formation
552416.08018272,7486190.25837655,516.0,16.744009581817867,49.856425705236724,1,Weeli_Wolli_Formation
550870.97850539,7486908.244996071,583.0,45.73103092569676,48.446213339461266,1,Weeli_Wolli_Formation
549503.430968525,7487520.484962205,637.0,15.756308530191175,43.51514909206124,1,Weeli_Wolli_Formation
546688.01134795,7488609.8459713375,626.0,30.813754828927358,29.402440418674693,1,Weeli_Wolli_Formation
546597.49122317,7490490.190501899,623.0,153.9968744530911,9.613730521279436,1,Weeli_Wolli_Formation
549209.614570085,7491165.958380195,576.0,167.18390676332103,30.456359800037852,1,Weeli_Wolli_Formation
552949.618537255,7491716.0002435865,594.0,177.62485337610406,29.260436956556354,1,Weeli_Wolli_Formation
558394.5811158001,7492101.040616445,665.0,160.9822884464061,41.1337717462266,1,Weeli_Wolli_Formation
541583.06543022,7490226.405509425,618.0,108.45923318491224,20.116227000583148,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
542539.8805145285,7490851.750268807,620.0,157.1097679944409,16.737262609155973,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
543378.2561185551,7491236.410231585,622.0,143.15193909651398,14.600771625778279,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
544825.680267955,7492021.914691355,589.0,156.09232137569597,7.4265512967909615,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
546519.880259805,7492616.41959412,593.0,167.87288130149045,18.25777647851804,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
548361.337690945,7492528.240553094,571.0,182.29535011036228,42.23429353856528,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
549570.565372285,7492750.20206278,604.0,163.08071146464658,49.335275417300146,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
551209.41334241,7493229.337418025,609.0,173.4006026612601,49.754839427399844,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
553139.7751447749,7493154.995050175,622.0,175.90547067726243,41.56573873347025,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
555428.655492105,7493200.0099264635,600.0,173.40098883306013,38.37661394555627,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
558155.149467505,7494064.0344322035,628.0,158.20501369819112,37.711182644392146,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
561599.68585067,7494569.058804343,598.0,173.19328719434762,29.746477645666126,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
562261.49992171,7478416.58897701,801.0,74.35804507445977,0.9713488066560244,1,Brockman_Iron_Formation
561419.4898752,7479875.339643992,744.0,20.671728494247986,5.322644333157911,1,Brockman_Iron_Formation
560183.45420172,7480728.58047325,900.0,39.279890628137935,12.153783688287888,1,Brockman_Iron_Formation
558589.75524621,7481914.80896917,643.0,35.36102402025278,24.36997081935185,1,Brockman_Iron_Formation
555673.794032505,7483875.035294055,636.0,34.19570604438445,41.147857249407075,1,Brockman_Iron_Formation
542278.500379775,7489386.409866485,816.0,75.20281550073895,23.63541095055116,1,Brockman_Iron_Formation
542664.443197394,7490552.2576887915,615.0,154.37018493317555,18.064736502977286,1,Brockman_Iron_Formation
544026.970432885,7491314.915487045,629.0,132.82037531561735,12.18714000901022,1,Brockman_Iron_Formation
544932.2007127,7491702.909918185,634.0,144.5246325376092,8.656556425880794,1,Brockman_Iron_Formation
547164.7438898401,7492417.434595563,584.0,184.3585050411584,27.55931480117991,1,Brockman_Iron_Formation
549635.434485585,7492491.95423555,588.0,167.47781615731037,48.058354411977774,1,Brockman_Iron_Formation
551638.81363276,7492920.53274309,625.0,182.46559102621757,45.61027385162207,1,Brockman_Iron_Formation
555797.309919995,7492879.009894115,605.0,162.4851268551864,36.9920145782006,1,Brockman_Iron_Formation
558253.115321635,7493534.034132585,633.0,156.8159985435681,39.33818364833417,1,Brockman_Iron_Formation
561188.21023505,7494035.05939953,654.0,175.39555524696073,34.143793867133994,1,Brockman_Iron_Formation
560295.77440056,7475614.09610116,740.0,64.28640116910867,1.8303026643651352,1,Marra_Mamba_Iron_Formation
559906.22408488,7477270.83242407,656.0,103.99629767590041,3.706797447693148,1,Marra_Mamba_Iron_Formation
559469.0607226749,7478944.0654038815,614.0,43.8463868559636,10.353668425365155,1,Marra_Mamba_Iron_Formation
556295.4364664201,7482207.290072153,577.0,38.15601894330297,32.83451479881633,1,Marra_Mamba_Iron_Formation
551338.54984335,7485090.04380109,520.0,270.1932716742035,43.947498567642185,1,Marra_Mamba_Iron_Formation
544022.298638955,7487664.68465946,618.0,20.499911357530266,35.963873381449815,1,Marra_Mamba_Iron_Formation
519517.75523985,7500007.70920937,523.0,316.8130779205132,17.374554790821758,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
517669.91062289,7498600.186152483,534.0,324.79872349204993,16.681629961321462,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
519931.834325765,7499583.206071265,517.0,333.4336355717433,13.672550370668118,1,Wittenoom_Formation
517829.94979301,7497980.185686345,528.0,317.6399696260865,13.855730871127207,1,Wittenoom_Formation
531685.33584219,7508472.16879392,590.0,166.8738595169824,5.057381898868229,1,Turee_Creek_Group
533074.21471681,7507881.66994208,597.0,281.3115576954904,3.642436893824893,1,Turee_Creek_Group
529727.5601100749,7505727.109569752,562.0,327.6060093554247,18.38242374097061,1,Turee_Creek_Group
522082.924057035,7504042.75078942,537.0,349.9319221488938,20.01222153333235,1,Turee_Creek_Group
517744.06124803505,7503274.69944447,512.0,348.954196996262,30.472610000692878,1,Turee_Creek_Group
517804.950338525,7506046.465407405,523.0,165.47728339372532,35.370377355776,1,Turee_Creek_Group
525090.41783183,7507225.298093901,552.0,171.43362607822712,17.953393674591936,1,Turee_Creek_Group
525195.62039369,7507924.54934537,565.0,166.66211765931473,17.511356879621953,1,Boolgeeda_Iron_Formation
530911.4760851,7509142.918847915,594.0,162.48316387037084,5.656057009810682,1,Boolgeeda_Iron_Formation
534413.972086655,7510229.44100982,622.0,177.24805033864845,0.8187900065511258,1,Boolgeeda_Iron_Formation
536677.82857801,7509802.941024775,634.0,256.777707354884,1.8605116152830592,1,Boolgeeda_Iron_Formation
535439.2655422201,7508472.93436249,613.0,303.7144048147878,2.6663456182100305,1,Boolgeeda_Iron_Formation
534606.7357914599,7507417.163993728,597.0,339.4147883781044,2.7412287994420983,1,Boolgeeda_Iron_Formation
532383.3803470749,7506158.12940393,575.0,321.3004056231518,9.542406546908182,1,Boolgeeda_Iron_Formation
530140.3648564001,7505170.115017082,569.0,332.6429820770952,19.841182780010016,1,Boolgeeda_Iron_Formation
527933.9289082449,7504414.5679616,554.0,347.2987343597662,24.54145377050544,1,Boolgeeda_Iron_Formation
518008.02076309,7502868.699224345,518.0,347.11846575904883,29.821830518206298,1,Boolgeeda_Iron_Formation
560590.324082375,7484645.83266337,598.0,4.0926238923773335,9.300602404096594,1,Woongarra_Rhyolite
556284.84410281,7485516.791018855,568.0,7.931591065659404,46.893218207188646,1,Woongarra_Rhyolite
554228.2959858001,7486212.270277455,534.0,24.24052916448107,51.864867339278184,1,Woongarra_Rhyolite
552181.3805924901,7487347.25036599,528.0,31.607167704279,51.4400989775453,1,Woongarra_Rhyolite
550500.925275635,7488187.48464825,553.0,25.432605206390125,44.08032982942135,1,Woongarra_Rhyolite
548874.10099889,7489394.219924515,574.0,71.55905449821836,22.87845738024079,1,Woongarra_Rhyolite
549446.205612125,7490189.72017787,573.0,159.6532119800581,16.585311135882776,1,Woongarra_Rhyolite
551389.40230113,7490649.384535335,559.0,170.53560601737945,22.177306348209587,1,Woongarra_Rhyolite
553737.14626468,7491116.25551996,583.0,174.56497320259018,25.631753027529054,1,Woongarra_Rhyolite
556941.6791222501,7490875.9681361215,569.0,182.24348967398282,29.809061737650946,1,Woongarra_Rhyolite
559839.69452602,7491302.310696703,589.0,167.23773437830027,43.731482301819426,1,Woongarra_Rhyolite
544000.80473196,7476488.371548295,458.0,80.26902480783235,25.98407116104413,1,Mount_Roe_Basalt
543919.629978295,7520138.948598837,635.0,192.06953217574326,5.5990041315928485,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
547309.345072825,7519110.920817139,635.0,216.37598745748005,16.364712098190598,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
548728.868495605,7517409.8891324485,642.0,232.15435949671792,18.5818661470949,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
547774.339014175,7516320.645155597,744.0,342.8844035731156,8.746383086898916,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
546636.22934777,7515133.649562425,730.0,318.04445208456053,8.381627152940865,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
544751.665567295,7514007.658955115,776.0,289.4414438008372,13.969218546834655,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
